LeftColumn,RightColumn
2.9923, 8.7371
7.0602, 1.9152
4.1028, 7.8981
-1.0981, 8.6485
3.5850, 7.5851
9.9307, -0.1057
0.8132, 9.1299
4.4891, 5.5736
7.7724, 2.2686
5.6763, 2.9781
-0.9590, 11.9671
0.8526, 6.3971
4.9356, 3.3958
8.9396, 0.6625
3.3730, 4.8732
2.1387, 9.7475
11.2513, 0.2294
5.2312, 5.5809
1.2636, 9.0437
8.5139, 3.0049
3.7925, 6.1229
11.1140, -0.7998
2.4806, 7.2772
6.8939, 2.4221
6.3159, 2.8568
7.1753, 2.3949
4.2182, 6.3310
0.5822, 8.2927
4.0308, 6.8947
11.8306, -0.3638
1.8947, 5.2367
4.0892, 5.2265
8.0394, 0.5165
4.1503, 5.2143
9.3005, 0.6158
8.4572, 0.5472
0.6978, 8.3237
5.9286, 2.4613
7.8968, 1.2715
3.2092, 5.6157
3.1330, 4.7000
-1.3597, 10.3139
4.2714, 4.4131
2.3500, 6.8504
6.7881, 1.0573
4.3346, 5.7989
10.7480, 0.4993
3.4140, 5.8508
10.0349, 1.0307
-2.7508, 14.0911
1.9956, 6.7980
5.9662, 3.0497
5.9848, 3.8764
8.5566, 2.5422
4.2744, 1.4369
8.7903, 1.0468
4.0438, 6.8367
5.6425, 4.4259
0.5399, 9.1689
9.0165, 3.1320
1.1740, 8.1634
2.5012, 4.2547
3.8477, 6.5631
5.7146, 5.2066
8.3808, 2.7032
6.7677, 3.7894
3.0446, 6.9421
3.0980, 8.1260
1.1166, 8.5547
1.2384, 6.9430
2.1746, 9.6577
7.2085, 1.4275
2.9821, 6.5253
6.6245, 3.0480
4.0619, 5.6016
4.8067, 6.6725
4.4716, 3.8349
6.5175, 2.5253
5.7110, 4.1293
0.9605, 8.2270
6.1030, 5.0601
9.7465, 0.4154
8.9575, 1.1446
6.2130, 6.0762
9.3073, 1.1453
7.1033, 4.8365
10.8789, -1.6207
6.2512, 3.7148
5.0468, 5.5798
3.5019, 7.4375
1.0610, 8.9373
9.2063, 1.3154
5.9886, 3.5695
1.2004, 8.2785
6.7981, 1.9654
4.2734, 2.0547
7.6529, 4.0797
2.4458, 8.2460
-3.1462, 13.1250
4.6767, 5.0626
1.9947, 7.5967
4.7320, 6.6221
7.3838, 3.5320
7.2892, 2.9780
2.1378, 4.7700
-0.0725, 9.9882
2.2316, 7.7077
5.3826, 3.5110
2.9712, 6.8762
10.8048, -1.2648
4.9291, 4.3514
7.1655, 1.2030
4.5730, 8.1872
-0.6885, 9.7806
5.1572, 5.7173
8.2694, 1.2312
4.9083, 5.3132
6.1096, 5.0546
5.3642, 5.9241
1.8319, 7.1124
10.4774, 2.7542
5.9301, 5.4991
5.1871, 5.6808
2.0437, 8.2063
4.8592, 4.7860
6.4673, 4.5814
6.1483, 3.9102
1.2176, 7.7654
6.1468, 3.0367
4.3198, 4.9426
2.9450, 9.8617
5.9572, 3.8516
2.1425, 5.9537
2.3437, 9.0876
5.2732, 5.2025
4.8556, 4.8472
6.0373, 4.2040
4.7950, 6.1984
8.7153, 1.5007
6.5362, 5.2666
5.8292, 3.1489
3.6895, 6.2141
2.6509, 7.3065
9.0495, -0.3158
2.8684, 7.9308
2.8206, 6.7005
11.1586, -0.0004
3.5373, 4.5008
5.6502, 5.1331
6.2212, 2.2266
3.3226, 5.8043
10.6376, -0.6703
3.5893, 5.1643
8.0682, 5.6588
4.7045, 4.5611
